,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h
14-08-AH,43.23,43.48,45.5,40.1,38.31,40.0,42.17,45.41,41.39,42.17,40.29,47.08,53.97,64.96,60.69,69.52,70.62,69.36,66.34,74.8,67.19,82.61,72.93,84.04,86.2,87.41,87.67,84.64,89.29,95.52,100.03,97.2,107.82,117.55,169.09,168.74,176.58,170.58,165.69,180.69,179.87,174.16,226.38,234.98,220.64
13-09-AH,58.37,55.28,58.29,50.8,50.34,52.49,51.28,54.13,53.15,49.48,44.86,46.73,54.76,54.76,46.04,58.03,52.42,52.37,51.77,64.82,64.62,78.64,72.75,96.28,102.92,100.71,111.26,112.81,120.36,122.54,139.32,137.9,142.19,143.01,181.84,257.21,274.3,265.01,244.88,236.22,241.16,242.89,239.41,229.5,233.8
03-14-AH,57.51,59.49,63.21,57.01,58.8,55.14,55.1,55.58,58.92,56.92,54.21,47.22,56.33,54.8,45.19,54.02,50.36,44.84,50.14,54.01,47.53,49.1,51.27,50.41,51.25,51.17,51.38,51.1,49.74,49.68,50.29,56.55,60.87,70.99,144.81,180.81,171.54,171.11,175.08,169.28,172.38,172.52,159.28,176.57,167.08
01-17-AH,56.15,58.01,60.92,53.52,53.0,60.77,54.29,55.6,57.27,55.67,52.52,48.35,57.13,55.64,52.85,65.3,69.29,50.99,59.5,64.48,64.76,68.7,78.64,80.21,81.98,83.48,89.92,96.11,99.93,99.5,102.57,113.45,165.26,184.15,209.26,240.34,312.47,330.32,312.41,332.71,318.82,338.71,321.44,335.68,332.01
08-12-AHT,60.37,66.1,70.64,64.38,72.39,74.43,71.34,87.17,81.95,83.06,83.58,76.63,102.79,103.71,85.26,93.25,99.71,92.4,82.59,95.79,98.97,109.29,96.84,100.44,109.57,123.54,118.39,119.98,119.84,121.83,118.15,132.28,124.34,140.64,141.92,146.44,141.98,189.63,179.59,177.04,186.68,189.71,192.84,168.85,185.03
21-03-AH,40.57,44.27,41.31,41.34,39.66,37.3,35.94,41.24,40.77,41.52,36.54,39.21,44.63,41.34,37.86,45.59,38.52,41.22,42.06,44.21,35.72,49.25,46.21,55.66,57.68,65.53,66.38,75.42,81.24,84.87,85.75,90.4,94.23,94.44,99.77,106.32,119.07,123.49,131.8,142.6,162.12,161.56,168.08,165.2,157.87
23-18-A,37.02,41.26,41.28,41.51,41.39,36.25,35.91,37.39,39.85,40.15,35.28,41.6,40.29,36.99,37.66,38.78,34.27,41.3,45.81,55.0,52.4,63.14,64.81,77.14,81.73,82.34,94.6,89.03,95.69,105.18,108.64,115.94,121.51,127.26,125.76,123.51,157.61,200.95,217.56,222.86,221.96,217.13,218.86,221.07,197.78
23-14-A,44.51,48.39,46.96,47.03,46.02,40.03,40.04,43.73,45.79,44.08,38.29,44.98,43.34,40.45,40.01,41.27,37.36,41.42,40.95,41.49,36.44,43.08,44.83,52.47,54.85,58.91,65.64,65.4,66.62,71.42,73.76,78.43,83.16,86.9,89.1,82.37,98.94,156.81,141.04,145.64,153.08,134.73,131.04,119.89,110.28
03-17-A,54.65,58.14,60.0,54.89,56.43,55.89,54.1,54.7,57.95,56.78,53.3,47.21,58.84,54.62,46.01,54.57,51.65,47.35,50.79,56.18,50.24,54.75,61.57,63.66,70.69,72.63,80.73,86.91,91.97,89.74,93.75,99.92,101.51,106.47,116.93,140.2,165.76,194.01,193.02,193.29,201.16,211.01,218.3,251.04,256.53
02-16-A,60.95,63.26,64.52,57.94,57.97,62.17,57.64,59.67,61.86,64.99,56.47,53.05,63.13,63.92,51.44,56.52,59.98,52.81,59.38,72.11,68.37,80.09,86.78,85.42,103.49,107.68,119.51,126.08,126.7,131.84,131.27,138.17,152.33,148.83,151.93,157.8,161.32,181.31,179.83,179.56,185.94,206.7,185.37,232.32,225.41
24-09-A,37.71,38.09,38.71,37.49,38.57,34.18,31.4,35.25,36.87,38.06,33.5,38.29,40.47,35.23,38.04,38.28,31.99,36.07,35.09,37.3,35.97,33.69,34.38,35.94,35.4,34.33,37.78,48.73,53.19,55.22,61.94,65.69,72.87,73.76,81.01,89.93,87.31,117.56,142.09,143.25,147.31,137.81,167.09,158.99,153.06
03-16-A,52.8,52.84,57.28,51.42,52.0,49.38,50.08,52.39,51.77,49.96,47.62,41.4,50.81,50.72,42.02,48.02,46.27,41.1,45.19,50.31,43.57,43.95,48.98,47.45,47.18,48.02,47.55,48.44,45.73,46.93,49.47,54.74,60.83,65.15,68.76,75.09,75.02,88.43,116.38,128.97,169.49,135.67,117.25,115.16,107.42
19-08-A,40.3,42.14,41.53,38.97,40.17,36.33,35.07,41.51,36.15,39.31,36.96,41.22,44.53,39.76,37.81,41.56,40.22,40.18,44.31,51.15,47.54,58.48,61.61,72.31,72.4,75.33,80.31,86.0,86.42,91.42,89.36,102.17,99.46,97.5,100.06,114.99,107.53,122.97,130.69,131.76,127.18,129.33,126.71,145.21,152.72
07-11-AH,41.73,42.91,44.18,42.91,42.17,41.11,39.04,43.23,43.99,46.24,40.39,40.19,49.57,44.27,38.7,45.15,42.94,36.37,39.9,50.19,40.81,43.81,38.21,46.67,50.67,51.71,48.49,46.85,47.27,47.21,50.27,49.22,54.37,57.78,62.74,62.71,71.59,79.0,86.58,87.2,101.03,142.99,216.05,189.78,192.42
06-18-A,45.94,46.54,47.87,45.93,45.84,43.78,42.61,45.34,51.28,54.95,50.6,43.09,57.23,49.63,44.0,46.32,49.4,40.1,42.49,53.89,43.73,48.34,44.54,46.63,51.18,48.75,49.07,47.82,44.94,48.32,44.29,45.13,47.79,46.8,48.19,44.46,42.67,46.21,48.52,43.69,47.37,48.51,87.58,163.7,178.03
11-12-AH,48.18,48.12,51.43,44.2,46.48,45.13,47.64,47.91,47.55,46.03,43.24,43.93,49.76,48.89,43.34,50.77,55.31,54.52,55.11,63.62,60.5,73.62,66.46,81.69,83.9,88.22,93.35,97.33,99.7,102.27,109.28,105.38,107.15,105.99,111.31,115.04,112.26,117.81,122.5,122.35,117.67,127.16,147.5,164.56,182.45
19-12-A,41.44,43.69,42.39,39.92,39.21,37.8,36.99,41.96,39.27,39.86,36.33,41.77,47.35,41.41,38.64,42.21,38.39,40.54,39.23,41.81,35.82,42.86,35.96,40.19,40.98,44.17,47.15,47.13,50.06,53.75,55.67,60.8,63.49,64.86,66.83,75.57,71.84,80.37,83.11,86.91,94.68,107.55,113.68,120.73,135.94
14-01-AH,38.65,38.28,39.25,36.34,36.95,35.57,39.45,43.19,38.01,40.86,33.84,38.3,42.06,42.64,39.48,42.57,44.62,41.12,37.43,43.36,37.78,46.92,39.17,44.83,45.42,44.12,43.66,42.05,43.48,45.21,46.08,48.01,46.63,47.82,49.33,48.81,50.2,54.41,58.54,72.12,72.56,74.78,78.39,78.59,85.4
01-05-AH,39.93,38.62,40.98,37.26,37.89,40.28,36.43,38.29,38.62,40.53,37.01,32.78,39.34,40.49,36.62,40.19,38.41,40.16,38.68,42.44,38.29,38.6,41.59,39.53,38.48,36.16,37.14,35.91,36.93,35.39,36.14,36.01,32.84,34.64,34.09,36.79,37.15,37.43,35.87,39.24,45.87,53.56,52.36,59.11,59.82
