,cell_index,name,age,X,signal_level,dz/dt,time_win_left,time_win_right,mortality,status
5241,450,22-17-AT,38.5,-0.5149451355736432,0.17639007089585124,-0.004865590723241354,35,42,78,1
5242,450,22-17-AT,45.5,1.3068610031627155,0.18047022852392267,0.012069035927713339,42,49,78,1
5243,450,22-17-AT,52.5,1.5287908559746783,0.2090026171199333,0.012191161981936672,49,56,78,1
5244,450,22-17-AT,59.5,0.9805003207139373,0.22145415195821663,0.007379257452342667,56,63,78,1
5245,450,22-17-AT,66.5,6.185556805963368,0.2759839392645474,0.037354569873684663,63,70,78,1
5246,450,22-17-AT,73.5,24.62777627227489,0.49208904978286155,0.08341232914090822,70,77,78,1
5247,451,22-18-BH,3.5,8.079144521164972,0.10890564586439046,0.12364134808378284,0,7,60,1
5248,451,22-18-BH,10.5,1.42085616040429,0.16430504994150577,0.014412786469538712,7,14,60,1
5249,451,22-18-BH,17.5,1.9555082275235347,0.197009002871781,0.016543306811857006,14,21,60,1
5250,451,22-18-BH,24.5,2.411910093235691,0.2134881128870642,0.018829386334588707,21,28,60,1
5251,451,22-18-BH,31.5,2.050117145379313,0.2537907571159859,0.013463303186427585,28,35,60,1
5252,451,22-18-BH,38.5,-1.487910765589784,0.2531198780837372,-0.009797141555048428,35,42,60,1
5253,451,22-18-BH,45.5,2.1993642055133025,0.26139787372301243,0.014023094208765676,42,49,60,1
5254,451,22-18-BH,52.5,1.6098461661682708,0.29205421431012624,0.009186913977432565,49,56,60,1
5255,452,22-18-BT,17.5,2.4006976463152934,0.13753529575034254,0.02909189762547813,14,21,53,1
5256,452,22-18-BT,24.5,0.8160149233897872,0.15148956770368444,0.008977680066897665,21,28,53,1
5257,452,22-18-BT,31.5,0.43596563368367597,0.16415162415888854,0.00442645263606701,28,35,53,1
5258,452,22-18-BT,38.5,-0.6925311832480362,0.159246427771435,-0.007248003329803837,35,42,53,1
5259,452,22-18-BT,45.5,2.0219337581334877,0.1628520336857413,0.02069295372382077,42,49,53,1
5260,453,23-01-AH,3.5,6.69850234671794,0.08063028120924089,0.1384612630692863,0,7,101,2
5261,453,23-01-AH,10.5,1.1052411444929275,0.1269819005023304,0.014506544372605868,7,14,101,2
5262,453,23-01-AH,17.5,1.2793139320047826,0.14548415142519525,0.014655822409432433,14,21,101,2
5263,453,23-01-AH,24.5,0.7340038169679314,0.15377295008543085,0.0079554934353988,21,28,101,2
5264,453,23-01-AH,31.5,1.8677138071849693,0.17218712388808233,0.018078334053198815,28,35,101,2
5265,453,23-01-AH,38.5,2.1126088695283625,0.19278224358705806,0.018264206894953085,35,42,101,2
5266,453,23-01-AH,45.5,2.86214837508628,0.23487632172248243,0.020309613403460658,42,49,101,2
5267,453,23-01-AH,52.5,-1.3697400120570267,0.24800028303993482,-0.009205231510673055,49,56,101,2
5268,453,23-01-AH,59.5,-1.8774511224691328,0.21867964822535102,-0.014308991392242754,56,63,101,2
5269,453,23-01-AH,66.5,0.6750870127163586,0.20752512135691692,0.00542172925300366,63,70,101,2
5270,453,23-01-AH,73.5,-0.8360796813683149,0.20661780211805686,-0.0067441726769393385,70,77,101,2
5271,453,23-01-AH,80.5,8.902033008773891,0.26988896594161105,0.05497342816341613,77,84,101,2
5272,453,23-01-AH,87.5,10.891706330769587,0.39207801699209494,0.046299060640734614,84,91,101,2
5274,454,23-01-AT,3.5,5.328409638754774,0.05542167943516541,0.1602384269435023,0,7,67,1
5275,454,23-01-AT,10.5,0.7342423232541877,0.08464032933446772,0.014458086529742611,7,14,67,1
5276,454,23-01-AT,17.5,1.7535667588220007,0.10474301139965911,0.027902685111389172,14,21,67,1
5277,454,23-01-AT,24.5,0.5548588820109766,0.1158622860415585,0.00798158602722481,21,28,67,1
5278,454,23-01-AT,31.5,0.8776985590319786,0.125402643597671,0.011665072519628544,28,35,67,1
5279,454,23-01-AT,38.5,0.26891660268174394,0.13263907393163582,0.003379052073553474,35,42,67,1
5280,454,23-01-AT,45.5,1.6053243400272967,0.1439276137901468,0.018589487425347193,42,49,67,1
5281,454,23-01-AT,52.5,10.143223817613055,0.21244867715163593,0.07957391524395714,49,56,67,1
5282,454,23-01-AT,59.5,18.499222655115314,0.4527059815947684,0.06810609758217039,56,63,67,1
5283,454,23-01-AT,66.5,18.32197864014292,0.7903389539745469,0.038637385786615686,63,70,67,1
5284,455,23-01-BH,3.5,6.781043678350578,0.07308308763442829,0.15464233695831917,0,7,92,1
5285,455,23-01-BH,10.5,1.3037464171697506,0.10860160101251852,0.020008090811041046,7,14,92,1
5286,455,23-01-BH,17.5,1.3925068939273406,0.1368558743138481,0.016958313516670098,14,21,92,1
5287,455,23-01-BH,24.5,1.502858122452345,0.1472707563894424,0.0170078812578173,21,28,92,1
5288,455,23-01-BH,31.5,0.86737098095773,0.16921821678538815,0.00854292362287229,28,35,92,1
5289,455,23-01-BH,38.5,-0.5766917588539927,0.16488853821117133,-0.005829106994643745,35,42,92,1
5290,455,23-01-BH,45.5,1.3952660126373826,0.16978304913676046,0.013696557849673734,42,49,92,1
5291,455,23-01-BH,52.5,0.0032956018861118094,0.18777390456564147,2.9251507672975065e-05,49,56,92,1
5292,455,23-01-BH,59.5,0.19183751781475536,0.18114222862154625,0.0017650726657775862,56,63,92,1
5293,455,23-01-BH,66.5,2.2270302296136157,0.20096711656090344,0.018469275535588348,63,70,92,1
5294,455,23-01-BH,73.5,13.494507164933747,0.3084282102197357,0.07292084358582591,70,77,92,1
5295,455,23-01-BH,80.5,16.918211171415518,0.5427319872202855,0.05195385435718051,77,84,92,1
5296,456,23-01-BT,10.5,0.7202340331394398,0.12782972701875506,0.009390539143185994,7,14,102,1
